2022-01-09|23:37:14|tax refund|Starbucks|126.36
2024-05-04|03:01:45|tax refund|IRS|-256.52
2022-07-10|22:10:17|software license|BestBuy|44.33
2023-03-08|07:14:09|invoice paid|Amazon|226.08
2023-10-12|20:21:58|gaming mouse|Target|246.0
2022-05-08|04:25:07|monthly subscription|Venmo|-224.61
2023-06-02|06:56:18|ergonomic keyboard|Apple|27.86
2022-12-19|18:53:30|tax refund|Starbucks|-185.47
2023-12-29|21:31:41|ergonomic keyboard|Target|212.04
2024-08-28|00:38:35|coffee purchase|Starbucks|-233.04
2023-01-09|02:44:40|software license|Comcast|-24.34
2022-02-16|04:36:32|gaming mouse|BestBuy|213.0
2023-09-18|17:22:36|utility bill|Comcast|239.33
2022-03-21|02:57:22|office chair|Apple|-47.4
2023-10-12|15:45:30|coffee purchase|PayPal|155.06
2022-10-19|21:00:52|monthly subscription|Venmo|-237.2
2024-03-03|12:37:14|gaming mouse|Amazon|-192.05
2023-01-22|06:15:20|office chair|Comcast|-261.02
2022-04-16|16:28:13|invoice paid|IRS|-265.73
2022-12-29|21:36:59|gaming mouse|IRS|-76.26
2022-12-12|01:11:38|office chair|Amazon|7.47
2023-11-20|16:47:02|tax refund|BestBuy|-297.0
2024-07-16|09:20:35|tax refund|Amazon|-160.1
2024-03-14|11:10:50|monthly subscription|Starbucks|22.7
2024-07-17|04:49:07|gaming mouse|PayPal|-294.79
2022-09-23|23:29:28|coffee purchase|Venmo|245.59
2023-02-03|00:11:43|gaming mouse|Joe|206.79
2024-05-29|06:16:00|ergonomic keyboard|Amazon|178.79
2023-10-08|09:10:46|software license|Starbucks|50.12
2022-07-10|19:24:51|invoice paid|Amazon|-27.53
2023-09-30|06:21:56|wireless headphones|Joe|-21.21
2024-06-18|07:07:56|utility bill|PayPal|-128.24
2024-04-07|04:48:50|utility bill|Amazon|299.7
2023-12-17|04:49:16|wireless headphones|IRS|-246.88
2023-10-22|03:43:29|tax refund|Comcast|111.92
2023-03-22|14:57:15|utility bill|Comcast|139.3
2023-09-16|07:35:49|ergonomic keyboard|Amazon|-192.02
2022-10-06|20:35:18|software license|Starbucks|-188.18
2024-09-13|22:53:46|monthly subscription|Joe|-223.95
2022-08-18|03:29:44|gaming mouse|Starbucks|-286.81
2024-05-27|03:40:04|invoice paid|BestBuy|272.12
2022-12-24|14:48:07|tax refund|Target|-31.02
2024-03-10|13:57:37|office chair|Target|117.08
2024-06-18|20:18:49|gaming mouse|BestBuy|33.95
2022-10-01|14:10:50|software license|Apple|-139.24
2023-11-16|08:16:28|invoice paid|Starbucks|193.05
2022-07-30|18:57:27|wireless headphones|Target|-36.24
2024-05-31|15:42:50|coffee purchase|BestBuy|-168.86
2024-07-04|05:49:16|invoice paid|BestBuy|-153.86
2024-05-07|10:09:10|invoice paid|Target|-260.03
2024-04-16|01:54:48|gaming mouse|Comcast|53.26
2023-03-06|09:01:56|coffee purchase|Target|175.21
2024-06-09|22:04:26|gaming mouse|Comcast|-280.38
2022-10-14|05:35:40|wireless headphones|Starbucks|50.74
2023-07-27|09:07:04|software license|Starbucks|178.8
2023-12-30|08:22:24|monthly subscription|Starbucks|-38.41
2022-04-07|08:51:11|software license|Comcast|0.1
2022-07-21|00:49:04|coffee purchase|IRS|79.36
2023-01-19|18:05:42|monthly subscription|Comcast|-162.95
2022-07-11|18:44:54|monthly subscription|Apple|193.41
2023-11-21|18:02:52|utility bill|Joe|-69.42
2024-04-14|20:22:49|monthly subscription|BestBuy|-136.46
2023-05-28|15:15:25|tax refund|Apple|-53.8
2024-06-14|07:38:17|utility bill|Starbucks|-285.26
2024-09-09|23:09:59|monthly subscription|IRS|-13.68
2024-01-19|13:05:58|software license|Apple|-218.46
2022-01-30|10:45:48|invoice paid|Venmo|111.09
2024-02-18|09:57:33|coffee purchase|Target|288.13
2024-08-12|21:53:21|ergonomic keyboard|Comcast|13.82
2022-11-15|00:27:40|ergonomic keyboard|Apple|192.67
2024-08-19|23:59:11|invoice paid|Joe|-253.08
2024-08-11|15:12:20|invoice paid|Comcast|74.22
2024-04-11|13:37:04|gaming mouse|PayPal|-261.09
2022-10-30|18:03:37|gaming mouse|Target|83.05
2024-06-12|01:27:43|gaming mouse|Amazon|-228.44
2023-06-10|15:58:20|invoice paid|Venmo|42.07
2023-08-15|06:56:35|tax refund|Starbucks|94.5
2023-12-20|00:48:43|software license|Apple|3.66
2022-08-29|19:37:33|gaming mouse|IRS|278.5
2022-02-17|09:53:26|coffee purchase|Starbucks|74.12
2024-05-09|00:22:24|gaming mouse|BestBuy|30.61
2023-01-16|14:54:05|tax refund|Target|-168.11
2024-09-01|23:18:39|wireless headphones|IRS|-3.24
2023-03-29|12:44:53|software license|Starbucks|-96.7
2022-03-04|07:20:47|coffee purchase|Comcast|192.62
2022-10-08|18:13:53|gaming mouse|IRS|216.56
2022-08-15|01:34:03|utility bill|Comcast|119.12
2022-04-24|06:59:38|utility bill|Venmo|-85.75
2024-04-10|15:09:58|wireless headphones|Starbucks|-17.8
2024-03-01|11:35:42|gaming mouse|Starbucks|163.78
2024-07-23|00:36:16|ergonomic keyboard|Comcast|197.67
2024-08-10|08:10:43|wireless headphones|Amazon|-255.18
2023-09-23|09:09:36|invoice paid|BestBuy|-47.65
2024-07-31|17:55:49|monthly subscription|Amazon|-18.77
2023-12-02|05:40:26|monthly subscription|Joe|-47.58
2022-05-06|20:06:45|wireless headphones|Amazon|-251.1
2022-09-18|00:11:17|invoice paid|Apple|-288.04
2023-03-09|02:02:09|monthly subscription|Amazon|184.75
2023-10-03|16:25:35|invoice paid|BestBuy|259.21
2024-02-28|02:49:00|office chair|Comcast|-110.55
2023-11-18|21:31:00|software license|Venmo|-149.67
